시,구,동,시군구,번지,본번,부번,아파트명,전용면적(㎡),계약년월,계약일,층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지,"k-단지분류(아파트,주상복합등등)",k-전화번호,k-팩스번호,단지소개기존clob,k-세대타입(분양형태),k-관리방식,k-복도유형,k-난방방식,k-전체동수,k-전체세대수,k-건설사(시공사),k-시행사,k-사용검사일-사용승인일,k-연면적,k-주거전용면적,k-관리비부과면적,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과,k-홈페이지,k-등록일자,k-수정일자,고용보험관리번호,경비비관리형태,세대전기계약방법,청소비관리형태,건축면적,주차대수,기타/의무/임대/임의=1/2/3/4,단지승인일,사용허가여부,관리비 업로드,좌표X,좌표Y,단지신청일,도로명주소,지번주소,검색주소
서울특별시,강남구,개포동,서울특별시 강남구 개포동,138,138,0.0,디에이치아너힐즈,84.357,202307,10,8,2019,삼성로 11,,,중개거래,서울 강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.067960222798,37.4844402093504,,서울특별시 강남구 삼성로 11,,서울특별시 강남구 삼성로 11
서울특별시,강남구,개포동,서울특별시 강남구 개포동,138,138,0.0,디에이치아너힐즈,59.8732,202307,26,9,2019,삼성로 11,,,중개거래,서울 강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.067960222798,37.4844402093504,,서울특별시 강남구 삼성로 11,,서울특별시 강남구 삼성로 11
서울특별시,강남구,개포동,서울특별시 강남구 개포동,138,138,0.0,디에이치아너힐즈,59.7479,202307,28,19,2019,삼성로 11,,,중개거래,서울 강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.067960222798,37.4844402093504,,서울특별시 강남구 삼성로 11,,서울특별시 강남구 삼성로 11
서울특별시,강남구,개포동,서울특별시 강남구 개포동,138,138,0.0,디에이치아너힐즈,84.3558,202308,1,19,2019,삼성로 11,,,중개거래,서울 강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.067960222798,37.4844402093504,,서울특별시 강남구 삼성로 11,,서울특별시 강남구 삼성로 11
서울특별시,강남구,개포동,서울특별시 강남구 개포동,138,138,0.0,디에이치아너힐즈,84.3558,202308,14,9,2019,삼성로 11,,,중개거래,서울 강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.067960222798,37.4844402093504,,서울특별시 강남구 삼성로 11,,서울특별시 강남구 삼성로 11
서울특별시,강남구,개포동,서울특별시 강남구 개포동,138,138,0.0,디에이치아너힐즈,59.8732,202308,19,22,2019,삼성로 11,,,중개거래,서울 강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.067960222798,37.4844402093504,,서울특별시 강남구 삼성로 11,,서울특별시 강남구 삼성로 11
서울특별시,강남구,개포동,서울특별시 강남구 개포동,138,138,0.0,디에이치아너힐즈,106.6695,202308,23,20,2019,삼성로 11,,,중개거래,서울 강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.067960222798,37.4844402093504,,서울특별시 강남구 삼성로 11,,서울특별시 강남구 삼성로 11
서울특별시,강남구,개포동,서울특별시 강남구 개포동,138,138,0.0,디에이치아너힐즈,59.8732,202308,27,28,2019,삼성로 11,,,중개거래,서울 강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.067960222798,37.4844402093504,,서울특별시 강남구 삼성로 11,,서울특별시 강남구 삼성로 11
서울특별시,강남구,개포동,서울특별시 강남구 개포동,138,138,0.0,디에이치아너힐즈,76.1709,202309,6,24,2019,삼성로 11,,,중개거래,서울 강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.067960222798,37.4844402093504,,서울특별시 강남구 삼성로 11,,서울특별시 강남구 삼성로 11
서울특별시,강남구,개포동,서울특별시 강남구 개포동,138,138,0.0,디에이치아너힐즈,59.7479,202309,9,17,2019,삼성로 11,,,중개거래,서울 강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.067960222798,37.4844402093504,,서울특별시 강남구 삼성로 11,,서울특별시 강남구 삼성로 11
